"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.47872761502153e-23,6.47263592938128,0.425,0.011,9.56937583055213e-19,"3","LINC01505"
3.1552229216487e-22,6.00977814799886,0.425,0.015,1.2181053611317e-17,"3","DTHD1"
1.30651611546577e-21,8.24178066578777,0.325,0,5.04393611536714e-17,"3","GRIK4"
4.21500650779344e-20,5.41527796575641,0.375,0.011,1.62724541239874e-15,"3","CD300A"
5.02077887276848e-17,5.11197125315676,0.325,0.011,1.938321891621e-12,"3","CX3CR1"
1.60743773525777e-15,5.28733807369871,0.3,0.011,6.20567412073616e-11,"3","GOLM1"
3.31793928362339e-15,5.69650031222559,0.275,0.007,1.28092363983565e-10,"3","PRSS23"
4.91767845592417e-15,5.489871051567,0.25,0.004,1.89851894469409e-10,"3","FCGR3A"
1.77592481907298e-12,5.19729963405938,0.25,0.011,6.85613535651316e-08,"3","LGR6"
2.32214042358158e-12,5.20233376128972,0.375,0.048,8.96485531927904e-08,"3","GNAL"
4.45472144596454e-12,4.89450903121504,0.275,0.019,1.71978976142907e-07,"3","SLC14A1"
2.31165119931281e-11,5.67357864037347,0.25,0.015,8.92436062006704e-07,"3","ENSG00000284685"
9.40317942048885e-69,11.772809100624,1,0,3.63019144707392e-64,"4","BANK1"
8.11085114595473e-64,9.32677694090349,0.974,0.007,3.13127519340728e-59,"4","MS4A1"
2.56341807937361e-57,8.12754659466701,0.923,0.015,9.89633183722976e-53,"4","CD79A"
4.15778750159558e-54,8.00016053282583,0.846,0.007,1.60515544286599e-49,"4","LINC00926"
8.7159587697021e-54,8.57738312530957,0.821,0.004,3.36488304263119e-49,"4","COBLL1"
1.28835219138653e-53,11.4959348712119,0.795,0,4.97381247006685e-49,"4","IGHM"
1.29260442976261e-50,10.1316418631237,0.795,0.007,4.99022866154154e-46,"4","IGKC"
5.97270608206433e-50,9.4092906954132,0.744,0,2.30582291004175e-45,"4","PAX5"
5.97270608206433e-50,10.6788664230247,0.744,0,2.30582291004175e-45,"4","IGHD"
2.49189826352415e-46,9.47559039820968,0.692,0,9.62022243616132e-42,"4","CD22"
1.54802362669734e-44,10.3119188451533,0.667,0,5.97630001322775e-40,"4","EBF1"
9.78681923195774e-36,8.81658966481295,0.538,0,3.77829943268961e-31,"4","NIBAN3"
9.78681923195774e-36,8.41053093887906,0.538,0,3.77829943268961e-31,"4","SPIB"
1.38915367092521e-30,8.47285636593139,0.462,0,5.36296666197386e-26,"4","FCRL1"
6.90950231301332e-29,8.62127205614395,0.436,0,2.66748246296192e-24,"4","ENSG00000290104"
7.40640113895418e-24,8.01770127061612,0.359,0,2.85931522370465e-19,"4","UGT8"
1.49621448972431e-20,8.10983535562676,0.308,0,5.77628565902968e-16,"4","FCRL5"
1.49621448972431e-20,8.08810846218102,0.308,0,5.77628565902968e-16,"4","KLHL14"
2.78156730193831e-17,8.01223337398149,0.256,0,1.0738518725863e-12,"4","KCNH8"
2.78156730193831e-17,8.50084491300401,0.256,0,1.0738518725863e-12,"4","KHDRBS2"
